time_s,requested_valve,valve,rpm,total_flow_kg_s,chamber_pressure_pa,pump_power_w,minimum_npsh_m,estopped,alarms
0.355,0.2411764705882353,0.2411764705882353,26546.650086728827,0.18789772914655478,4250384.387718172,2609.343691258072,39.32434214366087,False,
0.36,0.24705882352941178,0.24705882352941178,26605.962085699808,0.19493480019421264,4404885.28915058,2785.4992808302595,39.324446538518515,False,
0.365,0.2529411764705882,0.2529411764705882,26662.853529792847,0.20202032815318513,4561276.790864129,2968.132121433229,39.324555529853235,False,
0.37,0.25882352941176473,0.25882352941176473,26717.4232031666,0.2091514798442721,4719466.255300634,3157.2516943298506,39.32466915156875,False,
0.375,0.2647058823529412,0.2647058823529412,26769.76585854459,0.21632555375962703,4879363.660641562,3352.86394359109,39.324787434017665,False,
0.38,0.2705882352941177,0.2705882352941177,26819.972381740263,0.22353997521368485,5040881.607332419,3554.9715542870654,39.32491040418845,False,
0.385,0.27647058823529413,0.27647058823529413,26868.12994946765,0.23079229159686282,5203935.317297895,3763.574218840469,39.32503808588996,False,
0.39,0.28235294117647064,0.28235294117647064,26914.322180711784,0.2380801677363306,5368442.626465578,3978.6688913780454,39.325170499932554,False,
0.395,0.2882352941176471,0.2882352941176471,26958.6292819215,0.24540138136733353,5534323.97118451,4200.250030012567,39.32530766430551,False,
0.4,0.29411764705882354,0.29411764705882354,27001.128186276932,0.2527538187178222,5701502.369093891,4428.309827072091,39.32544959434992,False,
0.405,0.3,0.3,27041.892687273354,0.2601354702084783,5869903.394966742,4662.838427366278,39.32559630292682,False,
0.41000000000000003,0.3058823529411765,0.3058823529411765,27080.99356685343,0.26754442626963126,6039455.152023625,4903.824134642166,39.32574780058018,False,
0.41500000000000004,0.31176470588235294,0.31176470588235294,27118.498718310337,0.2749788732760221,6210088.239182556,5151.253606435192,39.325904095694476,False,
0.42,0.31764705882352945,0.31764705882352945,27154.47326417508,0.28243708959989183,6381735.714683163,5405.112037566056,39.3260651946465,False,
0.425,0.3235294117647059,0.3235294117647059,27188.979669292832,0.28991744178243817,6554333.056495938,5665.38333257134,39.326231101951535,False,
0.43,0.3294117647058824,0.3294117647058824,27222.07784928452,0.29741838082330363,6727818.119901284,5932.05026738626,39.32640182040346,False,
0.435,0.33529411764705885,0.33529411764705885,27253.825274582046,0.3049384385874131,6902131.092597768,6205.094640622249,39.32657735120901,False,
0.44,0.34117647058823536,0.34117647058823536,27284.277070217795,0.312476224328181,7077214.447674869,6484.4974148011515,39.326757694115955,False,
0.445,0.3470588235294118,0.3470588235294118,27313.486111541642,0.32003042132583703,7253012.894762262,6770.238847921784,39.32694284753535,False,
0.45,0.3529411764705883,0.3529411764705883,27341.503116031745,0.3275997836393908,7429473.329645605,7062.298615744708,39.327132808657844,False,
0.455,0.35882352941176476,0.35882352941176476,27368.37673135843,0.33518313297054847,7606544.782617612,7360.655925187082,39.32732757356411,False,
0.46,0.36470588235294127,0.36470588235294127,27394.153619854194,0.34277935563772044,7784178.36581315,7665.289619222594,39.32752713732955,False,
0.465,0.3705882352941177,0.3705882352941177,27418.878539536407,0.35038739965810733,7962327.219757957,7976.178273681317,39.327731494123285,False,
0.47000000000000003,0.3764705882352942,0.3764705882352942,27442.594421823458,0.35800627193572276,8140946.459342485,8293.300286342303,39.32794063730169,False,
0.47500000000000003,0.3823529411764707,0.3823529411764707,27465.342446079238,0.36563503555310395,8319993.119415204,8616.633958707009,39.3281545594965,False,
0.48,0.388235294117647,0.388235294117647,27487.16211111544,0.37327280716437305,8499426.100173501,8946.15757083568,39.328373252697695,False,
0.485,0.3941176470588235,0.3941176470588235,27508.091303775826,0.38091875448723805,8679206.112514991,9281.849449620982,39.328596708331396,False,
0.49,0.39999999999999997,0.39999999999999997,27528.16636472147,0.38857209389146735,8859295.623497631,9623.688030864261,39.328824917332746,False,
0.495,0.40588235294117647,0.40588235294117647,27547.422151531355,0.396232088081329,9039658.802043468,9971.651915509945,39.32905787021419,False,
0.5,0.4117647058823529,0.4117647058823529,27565.892099227738,0.40389804386945505,9220261.465008082,10325.719920382682,39.329295557129186,False,
0.505,0.4176470588235294,0.4176470588235294,27583.60827833147,0.41156931003957264,9401071.02372585,10685.871123760568,39.329537967931515,False,
0.51,0.4235294117647059,0.4235294117647059,27600.601450548023,0.4192452752955356,9582056.43112992,11052.084906105829,39.3297850922305,False,
0.515,0.4294117647058823,0.4294117647058823,27616.901122180978,0.4269253662940892,9763188.12953531,11424.340986262183,39.33003691944221,False,
0.52,0.43529411764705883,0.43529411764705883,27632.53559536565,0.43460904575881043,9944437.999163799,11802.619453415617,39.330293438836826,False,
0.525,0.4411764705882353,0.4411764705882353,27647.532017211848,0.44229581067268126,10125779.307480084,12186.900795102783,39.33055463958243,False,
0.53,0.4470588235294118,0.4470588235294118,27661.91642694108,0.44998519054677355,10307186.65940023,12577.16592153872,39.330820510785315,False,
0.535,0.45294117647058824,0.45294117647058824,27675.713801100097,0.45767674576255324,10488635.948425535,12973.396186522989,39.33109104152704,False,
0.54,0.45882352941176474,0.45882352941176474,27688.948096929216,0.4653700659853429,10670104.308747571,13375.573405171039,39.33136622089835,False,
0.545,0.4647058823529412,0.4647058823529412,27701.64229396077,0.4730647686465178,10851570.068363408,13783.679868705327,39.33164603803023,False,
0.55,0.4705882352941177,0.4705882352941177,27713.818433919903,0.4807604974920532,11033012.703233741,14197.698356528905,39.33193048212205,False,
0.555,0.47647058823529415,0.47647058823529415,27725.49765899699,0.48845692119508144,11214412.792510817,14617.61214579225,39.33221954246724,False,
0.56,0.48235294117647065,0.48235294117647065,27736.700248558132,0.4961537320301665,11395751.974857748,15043.405018653059,39.3325132084764,False,
0.5650000000000001,0.4882352941176471,0.4882352941176471,27747.445654357507,0.5038506446070486,11577012.905875867,15475.061267417315,39.33281146969809,False,
0.5700000000000001,0.4941176470588236,0.4941176470588236,27757.75253431262,0.5115473946616671,11758179.216652287,15912.565697739576,39.333114315837506,False,
0.5750000000000001,0.5000000000000001,0.5000000000000001,27767.63878490126,0.5192437379023147,11939235.47343568,16355.903630049816,39.33342173677301,False,
0.58,0.5058823529411764,0.5058823529411764,27777.121572236218,0.5269394489088371,12120167.138444548,16805.06089936438,39.33373372257084,False,
0.585,0.5117647058823529,0.5117647058823529,27786.21736187192,0.5346343200828392,12300960.53180881,17260.02385362898,39.33405026349795,False,
0.59,0.5176470588235293,0.5176470588235293,27794.941947394567,0.5423281606469175,12481602.794642404,17720.779350732428,39.33437135003323,False,
